BAIF_FM2_STATION_ID_1279_PERIOD_JULY012017_OCT012017 DEPTH_SENSOR_ID=3835 UNIT=M,
1/2/2018 5:00,0.03905
1/2/2018 5:05,0.03868
1/2/2018 5:10,0.03833
1/2/2018 5:15,0.0394
1/2/2018 5:20,0.04008
1/2/2018 5:25,0.0394
1/2/2018 5:30,0.03939
1/2/2018 5:35,0.03934
1/2/2018 5:40,0.03958
1/2/2018 5:45,0.04011
1/2/2018 5:50,0.0407
1/2/2018 5:55,0.04069
1/2/2018 6:00,0.04172
1/2/2018 6:05,0.04134
1/2/2018 6:10,0.04114
1/2/2018 6:15,0.041909
1/2/2018 6:20,0.04305
1/2/2018 6:25,0.04418
1/2/2018 6:30,0.04567
1/2/2018 6:35,0.04792
1/2/2018 6:40,0.05144
1/2/2018 6:45,0.05096
1/2/2018 6:50,0.05214
1/2/2018 6:55,0.05232
1/2/2018 7:00,0.05132
1/2/2018 7:05,0.05083
1/2/2018 7:10,0.05093
1/2/2018 7:15,0.05112
1/2/2018 7:20,0.05123
1/2/2018 7:25,0.05366
1/2/2018 7:30,0.05444
1/2/2018 7:35,0.05451
1/2/2018 7:40,0.05933
1/2/2018 7:45,0.05814
1/2/2018 7:50,0.05752
1/2/2018 7:55,0.06059
1/2/2018 8:00,0.05911
1/2/2018 8:05,0.0594
1/2/2018 8:10,0.06025
1/2/2018 8:15,0.06785
1/2/2018 8:20,0.06963
1/2/2018 8:25,0.07171
1/2/2018 8:30,0.06551
1/2/2018 8:35,0.06372
1/2/2018 8:40,0.06701
1/2/2018 8:45,0.06558
1/2/2018 8:50,0.0639
1/2/2018 8:55,0.06329
1/2/2018 9:00,0.063089
1/2/2018 9:05,0.062209
1/2/2018 9:10,0.06153
1/2/2018 9:15,0.06183
1/2/2018 9:20,0.06192
1/2/2018 9:25,0.06317
1/2/2018 9:30,0.06368
1/2/2018 9:35,0.062618
1/2/2018 9:40,0.062519
1/2/2018 9:45,0.06256
1/2/2018 9:50,0.062618
1/2/2018 9:55,0.06347
1/2/2018 10:00,0.0663
1/2/2018 10:05,0.06806
1/2/2018 10:10,0.06816
1/2/2018 10:15,0.068389
1/2/2018 10:20,0.06835
1/2/2018 10:25,0.06964
1/2/2018 10:30,0.07494
1/2/2018 10:35,0.07644
1/2/2018 10:40,0.075319
1/2/2018 10:45,0.071659
1/2/2018 10:50,0.071989
1/2/2018 10:55,0.073459
1/2/2018 11:00,0.07161
1/2/2018 11:05,0.070909
1/2/2018 11:10,0.073799
1/2/2018 11:15,0.07847
1/2/2018 11:20,0.075909
1/2/2018 11:25,0.07231
1/2/2018 11:30,0.070219
1/2/2018 11:35,0.0696
1/2/2018 11:40,0.06987
1/2/2018 11:45,0.07042
1/2/2018 11:50,0.070799
1/2/2018 11:55,0.072209
1/2/2018 12:00,0.066448
1/2/2018 12:05,0.066849
1/2/2018 12:10,0.06769
1/2/2018 12:15,0.063589
1/2/2018 12:20,0.06701
1/2/2018 12:25,0.06927
1/2/2018 12:30,0.06826
1/2/2018 12:35,0.06848
1/2/2018 12:40,0.067639
1/2/2018 12:45,0.066499
1/2/2018 12:50,0.060569
1/2/2018 12:55,0.069769
1/2/2018 13:00,0.06993
1/2/2018 13:05,0.07548
1/2/2018 13:10,0.06763
1/2/2018 13:15,0.064048
1/2/2018 13:20,0.06501
1/2/2018 13:25,0.065819
1/2/2018 13:30,0.06651
1/2/2018 13:35,0.0683
1/2/2018 13:40,0.07425
1/2/2018 13:45,0.071769
1/2/2018 13:50,0.070859
1/2/2018 13:55,0.06691
1/2/2018 14:00,0.06943
1/2/2018 14:05,0.06871
1/2/2018 14:10,0.070659
1/2/2018 14:15,0.067389
1/2/2018 14:20,0.06626
1/2/2018 14:25,0.066919
1/2/2018 14:30,0.06744
1/2/2018 14:35,0.07085
1/2/2018 14:40,0.073209
1/2/2018 14:45,0.06993
1/2/2018 14:50,0.067889
1/2/2018 14:55,0.070409
1/2/2018 15:00,0.06988
1/2/2018 15:05,0.07006
1/2/2018 15:10,0.069659
1/2/2018 15:15,0.06889
1/2/2018 15:20,0.066779
1/2/2018 15:25,0.06938
1/2/2018 15:30,0.070659
1/2/2018 15:35,0.072879
1/2/2018 15:40,0.07395
1/2/2018 15:45,0.073459
1/2/2018 15:50,0.072159
1/2/2018 15:55,0.07209
1/2/2018 16:00,0.07207
1/2/2018 16:05,0.072079
1/2/2018 16:10,0.066919
1/2/2018 16:15,0.06859
1/2/2018 16:20,0.07057
1/2/2018 16:25,0.067579
1/2/2018 16:30,0.067359
1/2/2018 16:35,0.0676
1/2/2018 16:40,0.069189
1/2/2018 16:45,0.0696
1/2/2018 16:50,0.068469
1/2/2018 16:55,0.06715
1/2/2018 17:00,0.066609
1/2/2018 17:05,0.066669
1/2/2018 17:10,0.06734
1/2/2018 17:15,0.06765
1/2/2018 17:20,0.067069
1/2/2018 17:25,0.0691
1/2/2018 17:30,0.06909
1/2/2018 17:35,0.07081
1/2/2018 17:40,0.08187
1/2/2018 17:45,0.08216
1/2/2018 17:50,0.07818
1/2/2018 17:55,0.07531
1/2/2018 18:00,0.07481
1/2/2018 18:05,0.07151
1/2/2018 18:10,0.06769
1/2/2018 18:15,0.06738
1/2/2018 18:20,0.066919
1/2/2018 18:25,0.065698
1/2/2018 18:30,0.06579
1/2/2018 18:35,0.06654
1/2/2018 18:40,0.069609
1/2/2018 18:45,0.07178
1/2/2018 18:50,0.07148
1/2/2018 18:55,0.07137
1/2/2018 19:00,0.072629
1/2/2018 19:05,0.07254
1/2/2018 19:10,0.07261
1/2/2018 19:15,0.068359
1/2/2018 19:20,0.06752
1/2/2018 19:25,0.06809
1/2/2018 19:30,0.06885
1/2/2018 19:35,0.06841
1/2/2018 19:40,0.06949
1/2/2018 19:45,0.07037
1/2/2018 19:50,0.07053
1/2/2018 19:55,0.07064
1/2/2018 20:00,0.070879
1/2/2018 20:05,0.071049
1/2/2018 20:10,0.07068
1/2/2018 20:15,0.07067
1/2/2018 20:20,0.071
1/2/2018 20:25,0.067359
1/2/2018 20:30,0.06926
1/2/2018 20:35,0.07082
1/2/2018 20:40,0.06851
1/2/2018 20:45,0.07078
1/2/2018 20:50,0.06801
1/2/2018 20:55,0.06543
1/2/2018 21:00,0.06572
1/2/2018 21:05,0.066448
1/2/2018 21:10,0.068799
1/2/2018 21:15,0.064728
1/2/2018 21:20,0.06325
1/2/2018 21:25,0.063559
1/2/2018 21:30,0.06963
1/2/2018 21:35,0.070769
1/2/2018 21:40,0.0678
1/2/2018 21:45,0.063809
1/2/2018 21:50,0.064489
1/2/2018 21:55,0.065749
1/2/2018 22:00,0.063809
1/2/2018 22:05,0.06203
1/2/2018 22:10,0.065139
1/2/2018 22:15,0.065139
1/2/2018 22:20,0.06289
1/2/2018 22:25,0.06245
1/2/2018 22:30,0.06351
1/2/2018 22:35,0.064349
1/2/2018 22:40,0.064199
1/2/2018 22:45,0.06379
1/2/2018 22:50,0.063769
1/2/2018 22:55,0.063959
1/2/2018 23:00,0.06464
1/2/2018 23:05,0.064559
1/2/2018 23:10,0.065088
1/2/2018 23:15,0.06523
1/2/2018 23:20,0.06058
1/2/2018 23:25,0.0599
1/2/2018 23:30,0.0587
1/2/2018 23:35,0.05878
1/2/2018 23:40,0.05818
1/2/2018 23:45,0.05861
1/2/2018 23:50,0.05836
1/2/2018 23:55,0.05819
1/3/2018 0:00,0.05712
1/3/2018 0:05,0.05682
1/3/2018 0:10,0.05686
1/3/2018 0:15,0.05453
1/3/2018 0:20,0.05279
1/3/2018 0:25,0.0522
1/3/2018 0:30,0.05129
1/3/2018 0:35,0.05114
1/3/2018 0:40,0.04982
1/3/2018 0:45,0.0473
1/3/2018 0:50,0.05102
1/3/2018 0:55,0.051
1/3/2018 1:00,0.05052
1/3/2018 1:05,0.04817
1/3/2018 1:10,0.04547
1/3/2018 1:15,0.04565
1/3/2018 1:20,0.04625
1/3/2018 1:25,0.04624
1/3/2018 1:30,0.04607
1/3/2018 1:35,0.04762
1/3/2018 1:40,0.04721
1/3/2018 1:45,0.04701
1/3/2018 1:50,0.04657
1/3/2018 1:55,0.04597
1/3/2018 2:00,0.04509
1/3/2018 2:05,0.04473
1/3/2018 2:10,0.04416
1/3/2018 2:15,0.04393
1/3/2018 2:20,0.04223
1/3/2018 2:25,0.04164
1/3/2018 2:30,0.04194
1/3/2018 2:35,0.04209
1/3/2018 2:40,0.04238
1/3/2018 2:45,0.043
1/3/2018 2:50,0.04335
1/3/2018 2:55,0.04269
1/3/2018 3:00,0.04239
1/3/2018 3:05,0.04244
1/3/2018 3:10,0.04198
1/3/2018 3:15,0.04151
1/3/2018 3:20,0.04188
1/3/2018 3:25,0.04163
1/3/2018 3:30,0.0411
1/3/2018 3:35,0.04169
1/3/2018 3:40,0.04177
1/3/2018 3:45,0.0418
1/3/2018 3:50,0.04157
1/3/2018 3:55,0.04042
1/3/2018 4:00,0.04008
1/3/2018 4:05,0.04074
1/3/2018 4:10,0.04081
1/3/2018 4:15,0.04083
1/3/2018 4:20,0.04086
1/3/2018 4:25,0.0429
1/3/2018 4:30,0.04265
1/3/2018 4:35,0.04263
1/3/2018 4:40,0.04103
1/3/2018 4:45,0.03991
1/3/2018 4:50,0.04017
1/3/2018 4:55,0.04087
1/3/2018 5:00,0.04094
1/3/2018 5:05,0.04091
1/3/2018 5:10,0.04114
1/3/2018 5:15,0.04363
1/3/2018 5:20,0.04406
1/3/2018 5:25,0.044
1/3/2018 5:30,0.04352
1/3/2018 5:35,0.04332
1/3/2018 5:40,0.04436
1/3/2018 5:45,0.04393
1/3/2018 5:50,0.04391
1/3/2018 5:55,0.04368
1/3/2018 6:00,0.0459
